reg_param,rank,alpha,Precision At K,Mean Average Precision,ncdg At K
0.01,5,1,9.523809523809527e-05,0.002975640129536341,0.008837960534684499
0.01,5,10,0.00013684210526315795,0.0009686480404804421,0.009603444830402966
0.01,5,15,0.0002774566473988437,0.003380500585069002,0.02135075278835065
0.05,5,1,0.00010582010582010582,0.002975498301306656,0.00942141775287735
0.05,5,10,0.00027745664739884404,0.0035168921555152914,0.021298968859265292
0.05,5,15,0.0001263157894736842,0.0009689115382363716,0.009117514341313785
0.1,5,1,0.00011640211640211641,0.003002189417950397,0.010122160340053966
0.1,5,10,9.523809523809525e-05,0.0006261413331205508,0.006980971926984606
0.1,5,15,0.00016455696202531648,0.005805250525128381,0.016967722887826754
0.01,10,1,0.00019428571428571428,0.00531781511293555,0.018375357513128788
0.01,10,10,0.0001375661375661376,0.0029699795993552106,0.012381087071011548
0.01,10,15,0.0001371428571428571,0.002841505790553703,0.012094193881819738
0.05,10,1,0.00014814814814814817,0.007037387966764249,0.017040532690796487
0.05,10,10,0.0002641509433962264,0.010283880595751126,0.02664617973952443
0.05,10,15,0.00018987341772151899,0.0018194550830838395,0.012971223707141837
0.1,10,1,0.00027118644067796615,0.008571259855561213,0.02531946190921992
0.1,10,10,0.0002372881355932204,0.0014088303211096495,0.01706407413149008
0.1,10,15,0.00020000000000000004,0.008541656538726138,0.021733269454764986
0.01,20,1,0.00015873015873015876,0.0030526950168366443,0.01436213924870422
0.01,20,10,0.00021656050955414015,0.0030550324178623516,0.017552715338919958
0.01,20,15,0.00022598870056497178,0.002701941433563936,0.01841120716852696
0.05,20,1,0.00011578947368421056,0.00248560307434997,0.01050781416240631
0.05,20,10,0.00024000000000000006,0.002594495295566715,0.01869388363307291
0.05,20,15,0.00024050632911392413,0.01067685897726995,0.024273364082665908
0.1,20,1,0.0003057324840764332,0.009319873190343856,0.028346647504972844
0.1,20,10,0.0002514285714285714,0.002788561815375808,0.01953583188829458
0.1,20,15,0.00015789473684210527,0.003341439137158519,0.013645750804640143
0.01,25,1,0.0001587301587301587,0.0038019185492294636,0.014846222012872692
0.01,25,10,0.00012698412698412698,0.003935380835071167,0.012798669230307964
0.01,25,15,0.000267515923566879,0.004130913888210793,0.020636538249424526
0.05,25,1,0.00015873015873015876,0.003969894467622854,0.01490240233140813
0.05,25,10,0.0002857142857142858,0.003694687343394831,0.021499768445188243
0.05,25,15,0.00011578947368421052,0.0039701671334621035,0.01226548445713324
0.1,25,1,0.0003428571428571429,0.00705748390084695,0.028847434319724724
0.1,25,10,0.0002857142857142856,0.003700046178756778,0.021516757216284942
0.1,25,15,0.00010526315789473686,0.003954142802346905,0.011671349866430267
0.01,50,1,0.0002628571428571428,0.004133586476655809,0.020245166865434885
0.01,50,10,0.00025142857142857145,0.003575675284429863,0.019639725654284235
0.01,50,15,0.00014814814814814806,0.0033918019055304794,0.013078868188897337
0.05,50,1,0.00011640211640211642,0.004090948412371804,0.012167741622861319
0.05,50,10,0.00025142857142857134,0.003084907111737063,0.01907915983676435
0.05,50,15,0.00026285714285714286,0.0032452282007647063,0.02052049237383667
0.1,50,1,0.00020338983050847463,0.003998747909866569,0.01763428229777307
0.1,50,10,0.0003164556962025318,0.011338595787009239,0.03168753583172033
