reg_param,rank,alpha,Precision At K,Mean Average Precision,ncdg At K
0.01,50,15,0.002117756,0.022580441,0.087522884
0.05,50,15,0.002152235,0.02227827,0.088673503
0.05,50,10,0.002055633,0.021856978,0.085684075
0.1,50,10,0.002046089,0.021819012,0.085431195
0.01,50,10,0.002079609,0.021290539,0.085709835
0.01,25,15,0.002032588,0.019962532,0.082285425
0.1,25,15,0.002022317,0.019765967,0.081537639
0.05,25,15,0.002026228,0.019700261,0.081579041
0.05,20,15,0.001969972,0.019538717,0.080153415
0.1,20,15,0.001979981,0.019434222,0.080190125
0.01,25,10,0.001913235,0.019071042,0.077715803
0.01,20,15,0.001940537,0.019019681,0.078270228
0.1,25,10,0.001925737,0.01901898,0.07807729
0.05,25,10,0.001928282,0.018920706,0.078084354
0.1,20,10,0.00191527,0.018663017,0.07765901
0.05,20,10,0.001904981,0.018557696,0.076727905
0.01,20,10,0.00188547,0.018227121,0.076038792
0.1,50,1,0.001711592,0.017509972,0.070452637
0.1,10,15,0.0018196,0.017281518,0.072962491
0.05,10,15,0.001821695,0.017035931,0.072735149
0.05,50,1,0.001691706,0.017020031,0.06955478
0.05,10,10,0.001774209,0.01696261,0.071333446
0.1,10,10,0.00176932,0.016899456,0.071160515
0.01,50,1,0.001694007,0.016777705,0.069200539
0.01,10,15,0.001814901,0.015923311,0.07108275
0.01,10,10,0.00177108,0.015780962,0.070017144
0.1,20,1,0.001583101,0.015715804,0.064536658
0.1,25,1,0.001580518,0.014996995,0.063382436
0.05,25,1,0.001612562,0.0146374,0.064170943
0.01,20,1,0.001528228,0.014361346,0.06161715
0.01,25,1,0.001608421,0.014334546,0.063737259
0.05,20,1,0.00155535,0.014124687,0.061889841
0.1,10,1,0.001479749,0.014003805,0.059344368
0.01,10,1,0.001494076,0.013621929,0.059561035
0.1,5,15,0.00157379,0.013014453,0.060349027
0.05,10,1,0.001488431,0.012905065,0.058616442
0.05,5,10,0.001514633,0.012174774,0.057859983
0.05,5,15,0.001551186,0.012114485,0.05868653
0.01,5,10,0.001522036,0.012025891,0.057794102
0.01,5,1,0.001401897,0.011924399,0.054620733
0.01,5,15,0.001553268,0.011898557,0.058362022
0.05,5,1,0.001417399,0.011592466,0.05454049
0.1,5,10,0.001510875,0.011567935,0.0568619
0.1,5,1,0.001417631,0.01119451,0.054042715
